item_number,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones,result_w2v,result_ft,result_mgpt,result_gpt2,result_bertje,result_robbert,result_xlmv,result_gpt3
785,near,high,0,0,0,NA,NA,0,1,0,1
786,near,high,0,0,0,NA,NA,1,0,0,1
787,near,low,0,1,0,NA,0,0,0,0,0
788,near,low,0,0,0,NA,0,0,0,0,0
789,near,high,0,1,0,NA,NA,0,0,0,0
790,near,high,0,0,0,NA,NA,0,0,0,0
791,near,low,0,1,1,0,0,1,1,1,1
792,NA,low,0,1,1,0,0,0,1,1,1
793,NA,low,0,1,1,0,0,1,1,1,1
794,far,high,0,0,0,NA,NA,0,1,1,1
795,NA,high,0,0,0,NA,NA,1,1,1,0
796,near,low,0,0,0,NA,NA,1,1,1,1
797,far,low,0,1,0,NA,NA,0,0,0,1
798,near,low,0,1,0,NA,NA,0,0,1,1
799,NA,high,0,0,0,NA,NA,0,0,0,0
800,near,high,0,0,0,NA,NA,0,0,0,1
801,far,low,0,1,1,NA,NA,NA,1,1,1
802,NA,low,0,0,0,NA,NA,NA,1,1,1
803,NA,low,0,1,0,NA,NA,1,1,1,1
804,near,low,0,0,0,NA,NA,1,1,0,1
805,far,low,0,0,1,NA,0,1,0,1,0
806,NA,low,0,1,1,NA,0,1,1,1,0
807,NA,low,0,0,1,NA,0,1,0,1,1
808,near,low,0,0,0,NA,NA,1,1,1,1
809,near,low,0,1,0,NA,NA,1,1,1,1
810,near,low,0,1,1,NA,NA,1,1,1,1
813,far,high,0,0,0,NA,NA,0,0,0,0
814,far,high,0,0,1,NA,NA,0,0,0,1
815,near,low,0,0,0,NA,0,1,0,1,0
816,near,low,0,1,0,NA,1,1,1,1,0
817,near,high,0,0,0,NA,NA,1,1,1,1
818,NA,high,0,1,1,NA,NA,0,0,0,1
819,near,NA,0,NA,NA,NA,NA,1,0,0,0
820,near,NA,0,NA,NA,NA,NA,1,1,1,0
821,near,NA,0,NA,NA,NA,NA,1,1,1,1
822,far,NA,0,NA,NA,NA,NA,0,1,0,1
823,near,low,0,0,1,NA,0,1,1,1,1
824,far,low,0,1,1,NA,0,1,0,1,1
825,near,low,0,0,0,NA,NA,1,1,1,1
826,near,low,0,0,1,NA,NA,0,1,1,1
827,near,low,0,0,0,1,1,1,1,1,1
828,NA,low,0,0,0,1,0,1,1,1,1
829,NA,high,0,0,0,0,0,1,1,1,1
830,far,high,0,1,0,0,0,1,1,1,1
831,far,high,0,1,0,0,0,1,1,0,1
832,far,high,0,0,0,0,1,1,1,1,1
833,far,low,0,1,1,NA,NA,0,0,0,1
834,far,low,0,1,1,NA,NA,0,1,0,1
835,far,high,0,0,0,0,0,0,1,1,0
836,far,high,0,0,1,0,0,0,0,1,0
837,NA,high,0,0,0,0,0,0,1,1,0
840,far,high,0,0,1,NA,NA,0,0,0,0
841,near,high,0,0,0,NA,NA,0,0,1,1
842,NA,high,0,0,0,NA,0,0,0,0,1
843,NA,high,0,0,0,NA,0,0,0,0,0
846,far,low,0,0,0,NA,0,0,0,0,1
847,far,low,0,1,0,NA,0,0,0,0,0
848,far,high,0,0,0,NA,NA,0,1,1,0
849,far,high,0,0,0,NA,NA,0,0,0,0
851,far,high,0,0,0,NA,0,1,1,1,1
855,far,low,0,1,1,NA,NA,1,0,0,1
856,far,low,0,1,1,NA,NA,0,0,0,0
857,near,high,0,0,0,NA,NA,1,1,1,1
858,NA,high,0,0,1,NA,NA,0,0,0,1
862,far,high,0,NA,NA,NA,1,0,1,0,0
863,far,high,0,NA,NA,NA,1,0,0,0,1
865,near,high,0,0,1,0,0,0,0,0,1
874,near,low,0,0,0,NA,NA,0,1,1,0
875,NA,low,0,0,0,NA,NA,0,1,0,1
880,near,high,0,0,0,NA,1,1,1,1,1
881,far,high,0,0,0,NA,1,1,1,1,1
884,far,low,0,1,1,NA,1,1,1,1,0
885,far,low,0,1,1,NA,1,1,1,1,1
886,NA,low,0,1,1,NA,1,1,1,1,1
887,NA,low,0,1,1,NA,NA,NA,0,0,1
891,near,low,0,0,0,NA,1,0,1,1,1
892,NA,low,0,0,0,NA,1,0,1,1,1
893,far,low,0,1,0,NA,NA,1,1,0,1
894,far,low,0,1,0,NA,NA,1,1,0,1
897,near,high,0,0,0,NA,NA,0,0,0,0
898,NA,high,0,0,0,NA,NA,0,0,0,1
909,NA,high,causal,0,0,NA,0,1,1,1,1
910,NA,high,causal,0,0,NA,0,1,0,1,0
911,near,high,causal,0,0,0,0,1,1,1,0
912,near,high,causal,0,0,0,0,0,0,1,0
920,far,low,causal,0,0,NA,0,1,1,1,1
921,far,low,causal,0,1,NA,0,0,0,1,1
926,NA,low,causal,1,1,NA,1,1,1,1,1
927,near,low,causal,1,1,NA,1,1,1,1,1
930,near,low,causal,0,0,0,0,1,1,1,1
931,far,low,causal,0,0,0,0,1,1,0,1
932,far,low,causal,0,0,0,0,1,1,1,1
935,NA,low,causal,1,1,NA,NA,0,0,1,1
936,far,low,causal,1,1,NA,NA,0,0,0,1
942,far,high,causal,0,0,NA,0,1,1,1,1
943,near,NA,causal,NA,NA,NA,0,1,1,1,0
944,far,NA,causal,NA,NA,NA,0,1,1,1,0
945,NA,high,causal,0,0,NA,0,0,1,1,1
946,near,high,causal,0,0,NA,0,1,1,1,1
947,NA,low,causal,0,1,NA,NA,0,0,1,1
948,far,low,causal,0,1,NA,NA,0,0,1,1
949,near,high,causal,1,1,1,NA,0,1,0,0
950,near,high,causal,0,0,1,NA,1,1,0,0
955,far,low,causal,1,1,NA,1,1,1,1,1
957,NA,high,causal,0,0,0,0,0,0,0,1
958,NA,high,causal,0,0,0,0,0,0,0,0
961,far,high,causal,0,0,NA,0,0,1,1,1
962,far,high,causal,0,0,NA,0,0,0,0,1
963,near,low,causal,0,0,NA,NA,1,1,1,1
964,NA,low,causal,0,0,NA,NA,1,1,0,1
967,far,high,causal,0,0,NA,0,0,0,0,1
968,NA,high,causal,0,0,NA,0,1,1,1,1
